id	name	description	exercise_type	catalogId	default_sets	default_reps	default_duration	rep_duration_seconds	is_favorite	has_video	muscle_groups	tags	benefits	limitations	best_timing	suggested_combinations	notes	exercise_references
balance-board	Balance Board	"Stand on a balance board and try to maintain your balance	 keeping the board as level as possible."	time-based	general-fitness			30		FALSE	TRUE	core\tlegs	equipment:balance-board\tcategory:balance\tstability\tcore	"Improves proprioception (body awareness) and balance by engaging the stabilizer muscles in your ankles	 knees	 and hips. Strengthens the lower leg muscles (ankles and calves) and activates the core as you constantly adjust to keep the board level. Regular practice can help prevent ankle injuries and improve overall coordination	 benefiting athletic activities and everyday stability (like walking on uneven ground)."	Ensure the area around you is clear of hazards in case you step or fall off. Beginners should use a support (like a wall or chair) nearby to grab if needed. People with vestibular (inner ear) issues or who easily get dizzy should be cautious. Avoid locking your knees; keep a soft bend to better absorb movements. Progress gradually: start with shorter duration and increase as your balance improves.	"Use at the beginning of a workout as part of a warm-up to activate stabilizers	 or at the end for balance training. It’s also effective as a standalone practice on non-training days. Performing it after leg workouts (when muscles are fatigued) can be more challenging	 so be mindful of form. It's well-suited for daily short practice sessions given its low impact."	single-leg-stand\tbosu-ball-balance	"Focus your gaze on a fixed point in front of you to help maintain balance. Engage your core and make small adjustments with your ankles. As you improve	 you can try shifting weight slightly or doing small knee bends on the board. Always step down carefully – don't jump off	 to avoid twisting an ankle."	Harvard Health – Balance Exercises; https://www.health.harvard.edu/staying-healthy/simple-balance-exercises (general guidance on balance training benefits)
hip-swirls	Hip Swirls	"Stand with feet shoulder-width apart and hands on hips. Rotate your hips in a wide circular motion (like doing a hula-hoop) in one direction for several rotations	 then repeat in the opposite direction."	repetition-based	general-fitness	1	10			FALSE	TRUE	flexibility\thips\tlower-back	equipment:bodyweight\tcategory:flexibility\thip-mobility\twarm-up	"Increases flexibility and mobility in the hip joints and lumbar spine by gently moving through a full range of motion. Helps to loosen tight lower back and hip muscles	 which can alleviate stiffness and improve posture. This movement also engages the core lightly as it works to stabilize the torso during the circular motion. As a warm-up	 hip circles prepare the body for more intense lower-body activities and can reduce risk of injury by promoting joint lubrication and muscle elasticity."	"Avoid making fast	 jerky movements – the circles should be smooth and controlled to prevent any pinching or strain in the lower back. If you feel pain in the hips or back	 reduce the range of motion. Those with balance issues can do this with a light fingertip support on a wall. Keep your feet planted firmly and knees slightly relaxed (not locked) during the movement."	"Best used as part of a warm-up or mobility routine	 especially before exercises that involve the hips and lower back (like squats	 deadlifts	 or running). Can also be done during breaks if you sit for long periods	 to relieve tightness. Typically done early in a session for 5–10 slow rotations each direction."	torso-twists\tleg-swings	Initiate the movement with your hips; imagine drawing a big circle with your tailbone. Breathe normally and focus on the sensation of stretching around the hip area. You can vary the size of the circle – start with small circles and gradually increase diameter as you get more comfortable. Ensure equal rotations in both directions for balanced mobility.	ACE Fitness – Dynamic Warm-Up Exercises; https://www.acefitness.org (recommends hip circles for mobility in warm-ups)
push-up-jack	Push-Up Jack	"Combine a push-up with a jumping jack motion of the legs: from plank	 do a push-up while jumping feet out and in."	repetition-based	general-fitness	3	8			FALSE	TRUE	chest\tshoulders\ttriceps\tcore\tlegs	equipment:bodyweight\tcategory:cardio\tfull-body\tplyometric	"Combines upper-body strength (push-up works chest	 shoulders	 triceps) with a cardio and leg component (jumping jack motion engages glutes	 thighs	 and raises heart rate). It's a full-body movement that improves muscular endurance and explosiveness while burning more calories than standard push-ups by recruiting multiple muscle groups and the cardiovascular system. Great for HIIT or bootcamp routines	 it builds functional strength and conditioning simultaneously."	"This is a high-impact	 advanced move; ensure you can do solid push-ups first. Maintain proper push-up form (flat back	 core engaged) even as you jump the feet – do not let hips sag or pike excessively. If you have wrist or shoulder issues	 use push-up bars or perform on an incline to reduce strain	 and step feet out one at a time instead of jumping. Land softly on your toes to cushion impact. Stop if form deteriorates (e.g.	 shoulders collapsing or lower back straining). Keep the movement controlled; avoid letting momentum slam your elbows at lockout."	"Use in high-intensity circuit training or metabolic finishers. For example	 include it in a HIIT round or as part of a full-body circuit. Typically placed mid-workout when you're warm but not completely fatigued (to maintain form given its complexity). Because it's demanding	 short bursts (e.g.	 20-second intervals or sets of 5-10 reps) with rest are common. Ensure adequate rest or alternating with lower-intensity moves if doing multiple sets."	burpees\tmountain-climbers	"Coordinate the movement: as you bend your elbows to lower	 jump your feet out; as you push up	 jump feet back together. Keep the core tight to minimize midsection sagging during the jump. Exhale when pushing up; inhale on the way down. If too challenging	 break it into parts (do a plank jack then a push-up separately) and gradually combine once strong enough. Focus on quality reps over speed to avoid sloppy form."	BarBend – Plyometric Push-Up Variations; https://barbend.com/plyo-push-up-benefits (discusses explosive push-up movements)
hip-crunch	Hip Crunch	"Lie on your back with knees bent at 90° (shins parallel to floor). Use your lower abs to lift your hips and tailbone off the floor in a small crunching motion	 then lower back down."	repetition-based	general-fitness	3	12			FALSE	TRUE	abs\tcore\thip-flexors	equipment:bodyweight\tcategory:core\tlower-abs\treverse-crunch	"Primarily targets the lower portion of the rectus abdominis by curling the hips upward. Strengthens the muscles that tilt the pelvis	 which can contribute to better core stability and help flatten the lower belly. It also engages the hip flexors slightly	 and by lifting the hips	 it reduces neck strain typical of regular crunches. Over time	 hip crunches can improve pelvic control and are useful for developing a strong mind-muscle connection with the lower abs."	"Avoid using momentum (like swinging your legs); the lift should be driven by your abdominal contraction. Keep the movement small; you only need to lift your hips a few inches. Place your hands on the floor beside you for stability but do not push down excessively with them. If you have lower back issues	 ensure your movement is slow and controlled	 and stop if you feel discomfort. Breathe properly (exhale as you lift hips	 inhale as you lower) to avoid holding breath and straining."	"Include in core workouts	 typically after bigger core moves like planks or leg raises. It works well in higher-rep ab circuits or towards the end of an abdominal session as a burnout for the lower abs. It can be done frequently (3-4 times per week) given it's bodyweight and low strain. Also suitable in Pilates or floor exercise routines focusing on core control."	reverse-crunch\tleg-raises	"Place your hands under your lower back or grip a sturdy object behind your head if you need a bit of support to prevent swinging. Focus on tilting your pelvis towards your ribcage. A helpful cue is to imagine trying to lift your tailbone straight up. Keep your head and shoulders relaxed on the floor. Even if the movement seems small	 as long as you feel the contraction in the lower abs	 you're doing it right."	Healthline – Reverse Crunch Benefits; https://www.healthline.com/health/fitness-exercise/reverse-crunch (similar movement targeting lower abs)
shin-box	Shin Box Switch	"Sit on the floor with one leg bent in front (90°) and the other bent behind (90°). Keep torso tall and rotate both legs to the other side	 switching the 90/90 position to the opposite side. Repeat fluidly."	repetition-based	general-fitness	1	10			FALSE	TRUE	flexibility\thips\tglutes	equipment:bodyweight\tcategory:flexibility\thip-mobility\tinternal-rotation	"Improves hip mobility by working both external rotation (front leg) and internal rotation (back leg) through the switching motion. Gently stretches and strengthens muscles around the hips and glutes	 potentially reducing stiffness. Also engages core muscles for stability as you transition	 helping with coordination. Regular practice can lead to better range of motion for activities like squatting and sitting cross-legged	 and reduce lower back strain by addressing hip tightness."	"If very tight in the hips	 use hands behind you for support as you switch to avoid falling back. Avoid forcing knees to the ground; work within your comfortable range and let mobility increase over time. If you have knee discomfort	 adjust the angles (not a perfect 90/90) or place padding under knees. Move slowly and with control; the goal is mobility	 not speed or brute force. It's normal if both knees don't touch the ground initially; don't push down on them."	Excellent as part of a warm-up or cool-down to mobilize the hips. It can also be used in dedicated mobility or yoga sessions. Using it before lower-body workouts can help open the hips and improve performance. Gentle enough to do daily or during breaks from sitting. Typically done early in a session for 5–10 smooth switches (each direction).	pigeon-stretch\t90-90-stretch	"Keep your chest lifted and avoid rounding your back as you move. Exhale during the switch to help relax into the new position. You can start with your hands on the ground behind you for balance	 then try hands-free as you get more comfortable. Over time	 aim to let both knees touch the ground on each side to achieve full range	 but be patient if you're tight—it will improve gradually."	Yoga Journal – 90/90 (Shin Box) Stretch; https://www.yogajournal.com/practice/ (explains benefits of 90-90 hip rotations)
standing-side-crunch-elbow-to-knee	Standing Side Crunch (Elbow to Knee	"Standing	 bring one elbow down and the same-side knee up to meet at your side	 crunching the obliques. Return to standing and repeat on the other side."	repetition-based	general-fitness	2	10			FALSE	TRUE	core\tobliques\tabs	equipment:bodyweight\tcategory:core\tstanding\tobliques\tbalance	"Works the obliques through lateral flexion combined with a crunch	 helping to tighten and strengthen the side abdominal wall. Lifting the knee engages the hip flexors and lower abs	 and doing it standing challenges balance and engages stabilizers. This exercise improves functional core strength for movements involving side bending or knee lifting. It can also lightly elevate heart rate when done briskly	 adding a small cardio element."	"Maintain good posture: avoid hunching forward as you bring elbow to knee; the movement is directly sideways. If balance is an issue	 you can perform the crunch motion without lifting the foot fully off the ground (just sliding the foot inward). Avoid yanking on your neck with your hand (if hand is behind head) – keep the tension in the obliques. Move in a controlled way to prevent any jerking that might tweak the lower back. If you have lower back problems	 do a smaller range of motion to be safe."	"This move can fit into an ab routine as a standing exercise between floor exercises	 or in a warm-up for core activation. It's also popular in aerobic or low-impact cardio workouts as it can be done rhythmically. Since it's low-impact	 it can be done in the beginning or middle of a workout. It also serves as a quick core exercise during a work break or at home since no equipment is needed."	high-knees\tstanding-oblique-reach	"Perform the crunch deliberately – focus on using your side abdominal muscles to bring your torso toward your hip. Exhale as the knee and elbow come together; inhale when returning to upright. Keep your supporting leg slightly bent and core engaged for balance. If you want more challenge	 you can hold a light dumbbell behind your head or simply increase the tempo once form is mastered."	Verywell Fit – Standing Ab Exercises; https://www.verywellfit.com/best-standing-ab-exercises (includes elbow-to-knee crunches and their benefits)
seated-circle-leg-crunch	Seated Circle Leg Crunch	Sit on the floor leaning back slightly (hands on floor for support). Lift both legs off ground and trace a circle in the air with your feet (moving legs together in a circular motion). Reverse direction after reps.	repetition-based	general-fitness	2	10		1.5	FALSE	TRUE	core\tabs\tobliques\thip-flexors	equipment:bodyweight\tcategory:core\tdynamic\tlower-abs\tcoordination	"Engages the entire core with emphasis on the lower abs and hip flexors as you keep legs elevated. The circular motion recruits the obliques and improves hip mobility and lower abdominal control. It also challenges coordination and balance in a semi-reclined position	 requiring core stability throughout. Over time	 it can increase lower abdominal strength	 improve coordination of the hip flexors with the abs	 and enhance overall core endurance. It’s a dynamic move that also lightly works the lower back stabilizers as they prevent you from tipping over."	"Keep the movement controlled; don't swing your legs wildly as that could strain the lower back. If you feel back discomfort	 lean back slightly more and ensure your core is braced	 or make smaller circles. If needed	 allow your hands to provide more support (closer to your hips) or slightly bend your knees to reduce leverage. Those with hip flexor tightness might fatigue quickly; start with few circles and gradually increase. Breathe continuously—avoid holding your breath which is common during intense ab moves."	"Place in a core workout once you have some strength (after mastering simpler moves like basic crunches). Use it as a mid-section exercise in the middle or end of your routine for a focused burn. Because it's challenging	 doing 2-3 sets of 8-12 circles (each direction) is typically sufficient. It's seen in advanced ab circuits or Pilates routines. Not necessary to do daily—abs need recovery too—so 2-3 times a week as part of core training is ample."	bicycle-crunches\tleg-raises	"Move legs together as one unit and draw the biggest circle you can control. Imagine you're smoothing out a large circle in sand with your feet. Keep your torso as steady as possible; the less it wobbles	 the more your core is working. Try clockwise for desired reps then counterclockwise. If doing without hand support	 keep arms forward for counterbalance. Quality over quantity—if form falters (e.g.	 you start swinging or jerking)	 pause and reset or end the set."	WorkoutGuru – Seated Circle Leg Crunch Guide; https://workoutguru.fit (notes core strength and flexibility benefits of circular leg movements)
sitting-lotus-pose-hip-horizontal	Sitting Lotus Pose Hip Horizontal Rotation	"Sit in lotus or cross-legged position. Place hands on hips. Rotate your torso/hips in a horizontal circle while keeping spine upright. Do several circles one way	 then reverse."	repetition-based	general-fitness	1	10			FALSE	TRUE	flexibility\thips\tglutes	equipment:bodyweight\tcategory:flexibility\thip-mobility\tstretch	"Increases hip joint flexibility by gently mobilizing in circular motions while in an externally rotated position (lotus). Engages and stretches muscles around the hips (glutes	 piriformis	 deep rotators) and can relieve tension in the lower back and hips. Also promotes an upright posture by requiring you to maintain a straight spine while rotating. This exercise can improve comfort in seated poses (useful in yoga/meditation) and hip mobility for daily movements. It is calming and can reduce stiffness in the hip and lower back region when done slowly and mindfully."	"If you cannot sit in full lotus	 a simple cross-legged position is fine; do not force your knees down or foot position as that can hurt the knees. Keep the movement gentle – this is more of a mobility stretch	 not a strength exercise. If you feel pinching in the hips	 make smaller circles or stop. Those with hip replacements or significant hip issues should consult a professional before deep rotations like this. Focus on upright posture to avoid slouching which negates some benefits. Discomfort (mild stretch) is okay	 but sharp pain is a red flag to stop."	"Use during warm-up for yoga or mobility routines	 or as a cool-down stretch to open the hips. It's particularly nice in the evening or morning to relax the hip area. Frequency can be daily since it's gentle. Often done for about 5-10 circles each direction per session. It can be included in meditation prep or as part of physical therapy for gentle hip mobility. Women who are pregnant or individuals with limited external rotation can do a butterfly stretch variant if lotus is too intense."	butterfly-stretch\tseated-forward-bend	"Focus on moving from the hips – imagine your bellybutton drawing a circle parallel to the floor. Keep your back straight and head in line with spine to maximize the hip movement. You can brace your hands on your hips to feel the motion or place them on your knees for a bit of support. Breathe deeply and slowly; exhale as you circle forward	 inhale as you circle back (or whatever pattern feels natural). The movement should be slow and controlled	 almost like a self-massage for your hips."	Exercisetimer – Sitting Lotus Pose Rotation; https://exercisetimer.net/exercise-library/sitting-lotus-pose-hip-horizontal-rotation (describes the motion and benefits)
lying-abduction-leg-raise-on-floor	Lying Abduction Leg Raise on floor	"Lie on one side with bottom leg bent and top leg straight. Raise the top leg upward	 then lower it back down. Repeat and switch sides."	repetition-based	general-fitness	3	12			FALSE	TRUE	glutes\thips\tcore	equipment:bodyweight\tcategory:strength\tlower-body\touter-thighs	"Strengthens the hip abductor muscles	 primarily the gluteus medius and minimus	 which are critical for hip stability and knee alignment. Toning these outer hip/thigh muscles can improve balance and support functional movements like walking and side-stepping. Also lightly engages the core to stabilize your torso. This exercise can help improve lateral hip strength	 contributing to better knee tracking and injury prevention (for knees and ankles). It's a simple movement effective for shaping the outer thighs and hips."	"Avoid swinging the leg or using momentum; lift and lower in a controlled manner to ensure the hip muscles are doing the work. Don't rotate your torso open or back – keep hips stacked to target the correct muscles. If you feel strain in your lower back	 you may be lifting too high or rolling backward; adjust form. Individuals with hip bursitis or IT band syndrome should start gently as this can aggravate those if overdone – use a small range and build up. Keep neck relaxed (you can rest your head on your bottom arm)."	"Include in lower-body or glute workouts as an isolation for outer thighs after compound exercises. Also common in physical therapy or warm-ups to activate glutes before heavier activity. Doing 2-3 sets of 12-20 reps per side is typical. Can be performed multiple times per week (2-4x) since it’s low strain	 especially if improving hip stability is a goal. Suitable for daily mini-sets for those rehabbing or desk workers trying to activate glutes	 as long as there's no soreness."	clamshells\tlateral-band-walks	"Line up your body straight – shoulders	 hips	 and legs in one line – to ensure you're not leaning forward or back. Leading with your heel slightly (toes pointing forward) can help engage the glutes more than the hip flexors. Exhale as you lift the leg	 inhale as you lower. You only need to lift to about 30-45° (or when you feel your hips wanting to tilt). To increase difficulty	 add an ankle weight or resistance band around thighs	 but only after mastering bodyweight with perfect form."	American Council on Exercise – Side-Lying Leg Raise; https://www.acefitness.org/education-and-resources/lifestyle/exercise-library/side-lying-leg-raises (explains the muscle focus and form)
side-bridge-bent-leg	Side Bridge (Bent Leg)	"Lie on your side with knees bent 90°. Prop up on your forearm and lift hips	 creating a straight line from shoulders to knees (knees stay on floor). Hold briefly	 then lower. (Modified side plank on knees.)"	time-based	general-fitness			20		FALSE	TRUE	core\tobliques\tshoulders	equipment:bodyweight\tcategory:core\tisometric\tobliques\tbeginner	"Strengthens the lateral core (obliques and quadratus lumborum) with reduced intensity compared to a full side plank	 making it great for beginners. Emphasizes proper hip alignment and glute medius engagement with less strain. Builds foundational strength in the sides of the trunk and improves spinal stability. Also engages shoulder stabilizers (in supporting arm) and glutes (to keep hips forward). Regular practice can help balance core strength and is often used to progress toward full side planks or to support lower back health by targeting side-supporting muscles."	"Ensure your elbow is directly under your shoulder to avoid shoulder strain. Keep your body in one line from head to knees – don't let your hips twist or drop backward. If even this is too challenging	 you can start with only a brief hold or with your bottom hip on the floor and just pushing up slightly. Avoid arching your neck; keep it in line with your spine. People with shoulder injuries should be cautious; they might need to do this on an extended arm (hand) or skip until the shoulder is stronger. Breathe throughout; don't hold your breath during the hold."	"Often used early in a core routine as activation	 or later as a burnout for the obliques. It's common in physical therapy and beginner workouts. One might hold for 10-30 seconds per side for 2-3 sets. It can be done frequently (3-5x/week) because it's bodyweight and low stress	 especially if building endurance. Ensure equal time on both sides to correct imbalances. As you get stronger	 increasing hold time or reps (if doing short holds) is a logical progression	 or move to full side planks."	plank\tbird-dog	"Think about lifting your hip using your bottom-side oblique	 not pushing too much through your arm. Keep the supporting shoulder away from your ear (don't shrug). Squeeze your glutes to keep your hips forward and spine aligned. Starting with a 10-second hold and gradually increasing time is a good approach. For added challenge	 once stable	 you can extend the top leg straight (while bottom knee stays down) to increase resistance slightly before going to a full side plank."	Cleveland Clinic – Side Plank Modifications; https://health.clevelandclinic.org/plank-exercise-benefits (mentions bent-knee side plank for beginners)
leg-pull-side	Leg Pull Side	"From a side plank position (on one hand or forearm)	 lift the top leg straight up and down (like a side plank with leg raise)."	repetition-based	general-fitness	2	6			FALSE	TRUE	core\tobliques\tshoulders\thip-flexors\tglutes	equipment:bodyweight\tcategory:core\tPilates\tadvanced\tbalance	"An advanced Pilates exercise that strengthens the core	 shoulders	 and hip flexors. Combines elements of a plank with side-lying leg raises to improve balance	 stability	 and strength particularly in the obliques and hip region. Lifting the top leg targets the outer hip (glute medius) and thigh as well. Builds considerable shoulder stability and total-body control	 enhancing core and lateral hip strength beyond a basic side plank."	"Very challenging – master regular side plank and simpler side leg raises first. Keep hips elevated and inline; avoid letting them sag when lifting the leg. The body should remain in one plane (don't roll forward/backward). If balance is an issue	 try it on your forearm or with your bottom knee down initially. People with shoulder or wrist problems might need to skip or modify (use forearm or do just side plank holds). Don't swing the top leg; lift with control to avoid yanking on lower back or losing balance. Exhale when lifting the leg to help core engagement."	"Typically included in advanced core or Pilates routines. Best done when fresh (near start of core workout) because it demands coordination and strength; performing it after fatiguing exercises may risk form. Usually performed for low reps per side (e.g.	 5-10 lifts) or short hold times	 since it is quite strenuous. Training it 1-2 times a week is sufficient for benefits	 as part of a comprehensive core program. Emphasize quality over quantity due to its difficulty."	side-plank-leg-raise\tPilates-leg-pulls	"Maintain a strong side plank alignment first – shoulder over elbow or wrist	 hips forward. As you lift the top leg	 lead with the heel slightly to activate outer glutes	 and only raise as high as you can without tilting your pelvis (a moderate height is fine). Inhale before lifting	 exhale as you raise the leg. A common progression in Pilates is to hold the leg up for a moment or do small pulses. Keep the movement smooth. This exercise requires both strength and grace	 so focus on precision rather than speed."	Famme – Leg Pull Side Description; https://famme.ee/blogs/trening/leg-pull-side-en
power-clean-thruster	Power Clean Thruster	"Perform a power clean to bring a barbell from floor to shoulders	 then immediately do a thruster (front squat + push press overhead)."	repetition-based	general-fitness	3	5			FALSE	TRUE	quads\tglutes\thamstrings\tshoulders\ttriceps\tcore	equipment:barbell\tcategory:strength\tfull-body\tpower\texplosive	"A highly efficient full-body exercise that develops strength	 power	 and cardiovascular endurance simultaneously. The power clean portion engages the hips	 hamstrings	 glutes	 back	 and arms explosively	 while the thruster works the quads	 glutes	 shoulders	 and triceps in a fluid squat-to-press motion. Together	 this complex improves coordination and athletic power (triple extension and explosive leg/arm drive). It elevates heart rate	 aiding conditioning	 and trains the body to move a weight from ground to overhead using nearly every major muscle group."	"This is technically demanding; master cleans and thrusters separately first. Use a weight you can handle with good form – too heavy can lead to injury especially as you fatigue. Maintain a flat back and engaged core during the clean to protect your spine	 and ensure you catch the bar in a strong front rack (elbows up). In the thruster	 squat at least to parallel	 drive through heels	 and lock out overhead without hyperextending your lower back. Those with mobility limitations in shoulders or wrists should address those before attempting full thrusters or modify (e.g.	 use dumbbells). Always drop the bar if you lose control—better to fail safely than risk injury by muscling through bad form. Keep repetitions relatively low to focus on explosive quality."	"Often used in CrossFit or HIIT-style workouts due to its full-body nature. It can be the centerpiece of a workout (e.g.	 doing multiple sets of 3-6 reps for power) or part of a metabolic circuit. Best done early in a session	 right after warm-up	 when energy and focus are highest	 as it requires coordination and explosiveness. Ensure significant rest between sets if training for power (2-3+ minutes). In circuit training	 if used for conditioning	 moderate weights and reps with incomplete rest might be programmed	 but form must remain a priority."	burpee-deadlifts\tpush-press	"Break it into a smooth flow: perform the clean explosively but under control	 and as you stand from the clean	 go straight into the squat for the thruster	 using that momentum to press overhead. Breathe in during the set-up	 exhale during the explosive phases (clean pull and driving up in the thruster). Wear secure footwear and consider using bumper plates so you can drop the bar if needed. It's normal for this exercise to be very taxing – start with lower reps and lighter weights until technique is solid. Focus on a strong hip extension in the clean and a powerful leg drive in the thruster for maximum efficiency."	Healthline – Thruster Benefits (Front Squat to Press); https://www.healthline.com/health/fitness-exercise/thrusters
snatch-high	Snatch High Pull	"With a wide (snatch) grip	 explosively pull a barbell from floor to chest height by extending hips and shrugging	 keeping elbows high (like the first part of a snatch without the overhead catch)."	repetition-based	general-fitness	3	5			FALSE	TRUE	hamstrings\tglutes\ttraps\tquads\tlower-back	equipment:barbell\tcategory:strength\tpower\tposterior-chain\tolympic-lift	"Develops explosive pulling power and strength in the posterior chain – especially hamstrings	 glutes	 and lower back – as well as the upper back and traps which are used to pull the bar high. It reinforces proper snatch technique (powerful hip extension and upright high elbows) for weightlifters	 and even for general training it builds upper-body power and trap development. Improves coordination of triple extension (ankles	 knees	 hips) without the complexity of the full snatch. Over time it increases total body power output	 benefiting athletic performance in jumps and pulls	 and contributes to upper back strength and shoulder stability by dynamically engaging those regions."	"Requires good form to avoid injury: maintain a flat back and keep the bar close to your body; arms should only bend after hip extension is complete (don't turn it into an upright row from the start). Use moderate weights until technique (timing of hip explosion and elbow lift) is mastered. Avoid leaning back or pulling too much with the arms – focus on legs and hips doing the work then just guiding with arms. Straps can be used if grip is limiting	 but ensure not to sacrifice technique for load. Those with limited shoulder or ankle mobility should work on that concurrently	 as proper positioning is important (e.g.	 start like a deadlift/squat combo). If lower back tightness occurs	 lighten the weight and check form (could indicate using back instead of legs)."	"Usually performed as part of Olympic weightlifting training or power-focused workouts. Place it early in a session (after warm-up) when power output is highest. Use low reps (2-5) for multiple sets since it's a power exercise. Rest adequately (2-3 minutes) between sets for quality. It might be trained 2-3 times per week for weightlifters	 or once a week as part of a general strength program. Not typically done under fatigue or in circuits	 as it is technical and benefits from full effort each rep."	overhead-squat\tpower-snatch	"Focus on leg drive and shrug: imagine trying to jump and shrug the bar up rather than 'yanking' with your arms. Your elbows should stay above the bar during the high pull (think about pointing them to the sides at the top). Keep the bar close to your body – you can even brush it along your shirt. Inhale	 brace	 then explode upward on the pull	 exhaling as you complete the movement. Reset your start position each rep (don't do touch-and-go initially) to ensure consistent form. Use light weights until the movement feels powerful and fluid."	Fitbod – Snatch High Pull Form; https://fitbod.me/exercises/snatch-high-pull
press-under	Press Under	"From a barbell on the front rack (shoulders)	 dip quickly and 'press' yourself under the bar	 catching it overhead in a partial squat (as in a push jerk)."	repetition-based	general-fitness	3	5			FALSE	TRUE	legs\tcore\tshoulders\tupper-back\ttriceps	equipment:barbell\tcategory:strength\tpower\tolympic-lift\toverhead	"Trains the explosive **drive and catch phase** of lifting overhead (similar to a push jerk) – developing upper-body power and speed under the bar. It teaches coordination: rapidly dropping into a squat while locking the bar overhead. Builds strong	 stable shoulders and triceps from catching and holding the weight overhead. Also improves core and leg power by using the quick dip and drive from the legs. Essentially	 it increases the amount of weight one can put overhead by utilizing the lower body and speed	 and enhances athletic qualities like timing and agility."	"Complex movement – master push press and basic jerks first. Keep torso upright during the dip; if you lean forward	 the bar will go out front. Use only a light to moderate weight until timing is perfected; incorrect timing or footwork can cause missed lifts or injury. Your grip and shoulder mobility should allow a quick transition to locked arms – if shoulder mobility is lacking	 work on that to avoid strain. Those with shoulder impingement should be cautious	 as the rapid overhead press can aggravate it. Always use bumper plates or spotters for safety if you need to bail. Land with knees bent to absorb the load	 not stiff-legged. Breathe and brace on the dip	 but avoid holding breath too long through multiple reps to prevent dizziness."	"Usually practiced in Olympic weightlifting routines or athletic training sessions at the beginning when neuromuscular coordination is fresh. Do after thorough warm-up (especially shoulders and wrists). Typically done in low reps (2-5) for multiple sets	 focusing on speed and precision rather than fatigue. Training 1-2 times per week is common if improving jerk technique or power. Because it’s technical	 it’s not done in conditioning circuits; rather	 in controlled sets with full recovery to ensure quality execution."	push-press\tfront-squat	"Think of it as pushing yourself under the bar	 rather than pushing the bar up. From a slight knee bend (dip)	 extend explosively and simultaneously drive under – your feet may momentarily lift. Punch hard to lock the arms as you drop. Practice with an empty bar to dial in the timing: dip	 drive	 press under. Ensure elbows start slightly forward in the rack position and finish locked with bar above and slightly behind head	 torso straight under bar. Keep core tight to avoid any forward collapse. **Key cue**: legs extend then immediately knees re-bend as arms lock out."	CrossFit – Push Jerk Benefits (Press Under); https://www.crossfit.com/essentials/the-push-jerk
lever-stepper	Lever Stepper	"Use a lever (machine) stepper: stand on the pedals and grip the handles	 then perform stepping motion (one foot presses down as the other rises) in a smooth rhythmic manner."	time-based	general-fitness			60		FALSE	TRUE	quads\tglutes\thamstrings\tcalves	equipment:machine\tcategory:cardio\tmachine\tlow-impact\tlower-body	"Provides a low-impact cardio workout focused on the lower body. Simulates stair climbing or stepping to strengthen quads	 hamstrings	 glutes	 and calves while raising heart rate. Using the lever handles can also involve the upper body slightly	 increasing oxygen demand. Great for improving lower-body muscular endurance and cardiovascular fitness with minimal joint impact. Also improves coordination between arms and legs if handles are moving. It's an effective calorie-burning exercise that also trains functional movement patterns similar to climbing stairs	 thereby potentially improving everyday stamina for activities like stair navigation."	"Maintain an upright posture and avoid leaning heavily on the handles (if present) – using them too much can reduce the exercise's effectiveness and might strain wrists/shoulders. Start with a comfortable stepping rate; too fast can cause you to lose form. If the machine allows resistance adjustments	 begin low to get used to the motion. People with knee issues should monitor discomfort – the step motion is generally low-impact	 but high resistance might aggravate some conditions. As always	 stay hydrated and step on center of pedals to avoid any ankle rolling. Keep movements smooth; do not lock knees. And if you feel dizzy or excessive strain	 slow down or take a break (especially when first incorporating new cardio equipment)."	"Ideal for cardio portions of a workout or as a warm-up. Can be used in HIIT (alternating intense stepping with slower pace) or steady-state cardio sessions. Commonly utilized for 10-30 minute durations depending on fitness level. Frequency could be 3-5 times a week if it's the primary cardio modality. It's often found in gym cardio areas	 but also in circuit training (e.g.	 doing 1 minute on stepper between strength exercises). Because it's gentle on joints	 many incorporate it on active recovery days just to get blood flowing."	stationary-bike\telliptical	"Start stepping at a slow rate to get the machine moving	 then find a rhythm where your breathing elevates but you can sustain it. Keep your core engaged and hips under your shoulders – don't stick your butt out or lean too far. If the machine has independent handles	 coordinate arm and leg movements naturally (like climbing). For more intensity	 you can increase the stepping speed or resistance rather than hunching or stomping. Use the full range of the pedals – press down completely without bottoming out abruptly	 and let it rise up but don't let your foot lose contact. Consistency is key for cardio benefit	 so find a pace you can maintain for the duration."	TrainHeroic – Stair Stepper Benefits; https://www.trainheroic.com (touches on cardio and lower-body benefits of stair-stepping machines)
