id,name,description,exercise_type,catalogId,default_sets,default_reps,default_duration,rep_duration_seconds,is_favorite,has_video,muscle_groups,tags,benefits,limitations,best_timing,suggested_combinations,notes,exercise_references
high-knees,High Knees,Run in place bringing knees up to chest level,time-based,general-fitness,,,30,,false,false,"cardio,legs,core","equipment:bodyweight,category:cardio,lower-body,explosive","A quick-paced cardio drill that elevates heart rate and improves lower-body power. High knees engage the hip flexors, quadriceps, hamstrings, calves, and glutes, building muscular endurance and coordination in these areas. They also strengthen the core (keeping you upright) and can enhance running speed and form by training an exaggerated knee lift.","This exercise is high-impact (essentially running in place), so it can strain ankles or shins if done on a very hard surface. Wear supportive footwear and choose softer ground if possible. If you have balance issues or are very new to exercise, start with a marching-in-place to build up. As always, maintain good posture; do not lean back, which could strain the lower back.","Often used in warm-ups for sports or runs to prime the legs, or inserted as a cardio burst in circuit training. You can perform high knees for set times (e.g., 30 seconds) or distances (if moving forward). They fit well into HIIT workouts (e.g., Tabata intervals) due to the high intensity.","butt-kicks,jumping-jacks","Keep your back straight and core engaged while driving the knees up to waist height or higher each time. Pump your arms in sync with your leg motion (opposite arm to leg). Aim for a springy, quick cadence, landing on the balls of your feet. Start slower and then pick up speed as you get more comfortable.","Healthline – High Knees Benefits; https://www.healthline.com/health/fitness/high-knees-benefits | Healthline – When to Do High Knees; https://www.healthline.com/health/fitness/high-knees-benefits"
butt-kicks,Butt Kicks,Run in place kicking heels up toward glutes,time-based,general-fitness,,,30,,false,false,"cardio,hamstrings,calves","equipment:bodyweight,category:cardio,lower-body,hamstrings","Focuses on the hamstrings by having you kick your heels up. Butt kicks serve as a dynamic stretch for the quadriceps and an activation for the hamstrings, improving their flexibility and strength. Like high knees, it's also a cardio move that will raise your heart rate and warm up the body. Regular practice can aid running form by encouraging a quicker heel recovery under the body.","Maintain an upright posture; avoid leaning too far forward, which can strain the lower back. If you have knee issues, perform the movement gently (don't force your heel to hit your butt). People with very tight quads should ease into it to prevent muscle pulls. As a lower-impact drill, it is generally safe, but if balance is a concern, do it marching in place rather than fast jumping.","Commonly included in warm-up routines for running or sports, after high knees or in alternating sets. It also fits into cardio circuits. For example, you might do 30 seconds of butt kicks between strength exercises to keep your heart rate up. It's effective to do butt kicks after high knees to target opposite muscle groups.","high-knees,jumping-jacks","Try to kick your heels all the way to your glutes (or as close as flexibility allows) in a smooth motion. Keep knees pointing down toward the ground (not forward) to emphasize the hamstrings. Swing your arms naturally at your sides to help maintain rhythm. Breathe steadily and find a cadence that you can control without stumbling.","MasterClass – Butt Kicks Benefits; https://www.masterclass.com/articles/butt-kicks-guide | Spotebi – Butt Kicks Warm-Up; https://www.spotebi.com/exercise-guide/butt-kicks/"
downward-dog,Downward Dog,Form inverted V-shape with hands and feet on ground,time-based,general-fitness,,,30,,false,false,"flexibility,hamstrings,shoulders,back","equipment:bodyweight,category:flexibility,yoga,stretch,shoulders,hamstrings","A staple yoga pose that stretches the entire back side of your body. Downward Dog lengthens the hamstrings and calves, opens the shoulders and chest, and traction on the spine helps relieve back tension. It also builds strength in the arms and shoulders by supporting part of your body weight, and improves blood circulation with the head lowered slightly (mild inversion):.","Those with very tight hamstrings or shoulders might find it challenging – it's okay to bend your knees and elbows slightly to maintain a straight back. If you have wrist issues, you can do the pose on your forearms (Dolphin pose) or prop your hands on blocks. Individuals with uncontrolled high blood pressure or glaucoma should be cautious with any inverted position. Come out of the pose if you feel any dizziness or sharp pain.","Often used in yoga sequences as a transitional pose or a resting pose between flows. In general fitness, it can be used in cool-down stretching routines to lengthen the posterior chain. It's beneficial in the morning to stretch out stiffness, or after workouts involving the legs or back.","child-pose,forward-fold","Press your palms firmly into the ground, fingers spread, to distribute weight and relieve wrists. Lift your hips up and back, and try to push your heels toward the floor (it's okay if they don't touch). Keep your head between your arms and your spine straight by tilting your pelvis up. Focus on deep, calm breathing while holding the pose.","Yoga Journal – Downward Dog Benefits; https://www.yogajournal.com/poses/downward-facing-dog/ | Yoga15 – Downward Dog Benefits; https://yoga15.com/poses/downward-dog/"
child-pose,Child's Pose,Kneel and sit back on heels extend arms forward on ground,time-based,general-fitness,,,45,,false,false,"flexibility,back,hips","equipment:bodyweight,category:flexibility,yoga,stretch,relaxation,back","A gentle, restorative pose that stretches the lower back, hips, thighs, and ankles. It helps to relax both the body and mind by activating the parasympathetic nervous system (promoting stress relief and better sleep). Child's Pose can alleviate lower back pressure by elongating the spine and is often used as a resting or calming posture in yoga.","If you have knee problems, widen your knees or place a cushion under your hips to reduce pressure. Those with very limited ankle mobility might feel discomfort – a rolled towel under the ankles can help. Pregnant women or people with a large midsection should take a wider stance with the knees to avoid compression on the abdomen. Otherwise, it's generally safe; just avoid forcing your buttocks all the way to the heels if it causes pain.","Used frequently as a recovery pose during yoga sessions (e.g., between challenging sequences). Also great after exercise or before bed to relax the back and hips. You can include it at the end of a workout during cooldown or anytime you need to gently stretch and decompress the spine.","downward-dog,cat-cow","Let your forehead rest on the ground (or a cushion) and breathe deeply into your belly. You can extend arms forward for a shoulder stretch or keep them by your sides for a more relaxed position. With each exhale, imagine your torso sinking closer to the floor, releasing tension. Stay in the pose as long as needed – it's about relaxation, so there is no strict time limit.","Cleveland Clinic – Child's Pose Benefits; https://health.clevelandclinic.org/childs-pose | Verywell Health – Child's Pose for Back Pain; https://www.verywellhealth.com/childs-pose-for-low-back-pain-2564776"
cat-cow,Cat-Cow Stretch,Alternate arching and rounding spine on hands and knees,repetition-based,general-fitness,2,8,,2,false,false,"flexibility,back,core","equipment:bodyweight,category:flexibility,yoga,stretch,spine,mobility","Gently mobilizes the spine, increasing flexibility and relieving tension in the back and neck. Cat-Cow helps you become more aware of spinal movement and can improve posture by training each vertebra to move. It also promotes blood flow to the spinal muscles and engages the core in a mild, controlled way. Often used to ease stiffness in the morning or before more strenuous activity.","This is a very low-risk movement. However, if you have a spinal injury or severe pain, move within a pain-free range only. It's safe to let the back round fully in Cat and arch in Cow, but do not force any position. People with wrist discomfort can perform it on fists or with wrists slightly ahead of shoulders. Remember to move slowly and breathe; rushing through can reduce the effectiveness of the stretch:.","Excellent as part of a warm-up (to loosen back and neck) or a cool-down to relax. You can do Cat-Cow first thing in the morning to gently get your spine moving, or during breaks from prolonged sitting. It's also a staple in yoga sequences, usually performed at the beginning to warm up the spine.","child-pose,downward-dog","Coordinate with your breath: typically you inhale during Cow (arching, looking up) and exhale during Cat (rounding, tucking chin). Go slowly and try to articulate each segment of your spine in sequence. Spread your fingers and press through your hands to activate shoulder stabilizers. This exercise is about quality of motion, not intensity, so focus on feeling a nice stretch and flex through your back.","Men's Health – Cat-Cow Benefits; https://www.menshealth.com/fitness/a39438579/cat-cow/ | Yoga Journal – Cat-Cow Pose; https://www.yogajournal.com/poses/cow-cat/"
single-leg-stand,Single Leg Stand,Stand on one leg hold for time then switch,time-based,general-fitness,,,30,,false,false,"balance,legs,core","equipment:bodyweight,category:balance,stability,proprioception","A fundamental balance exercise that improves proprioception and ankle stability. Regular practice can enhance your overall balance and reduce the risk of falls by strengthening the muscles around the ankles, knees, and hips that keep you upright. It engages the core as well, since you must stabilize your trunk on one leg. There's even research suggesting that better one-leg balance is correlated with longer life expectancy: (likely reflecting overall health).","For safety, stand near a support (wall or chair) when you first try it, in case you lose balance. If you have significant balance issues or neurological conditions affecting balance, consult a professional for guidance. It's a gentle exercise, but avoid doing it with eyes closed or on unstable surfaces until you have mastered a stable stance. Always practice on both legs to ensure balanced development.","Can be done daily as part of a balance or rehab routine – for example, while brushing your teeth or waiting for something. In workouts, it can be part of a warm-up (to activate stabilizers) or integrated into circuits. Many physical therapy programs include it for older adults to maintain steadiness.","tree-pose,warrior-3","Focus on a fixed point in front of you (a drishti) to help maintain balance. Keep a slight bend in the standing knee and engage your core. Try not to let your arch collapse; grip the floor slightly with your toes. As you improve, you can progress by balancing for longer, or by moving your free leg/arms around to challenge yourself further.","Cleveland Clinic – Balance Exercise Importance; https://health.clevelandclinic.org/balance-exercises | PubMed – Single Leg Balance Training Review; https://pubmed.ncbi.nlm.nih.gov/34045951/"
tree-pose,Tree Pose,Stand on one leg with other foot on inner thigh,time-based,general-fitness,,,30,,false,false,"balance,legs,core,hips","equipment:bodyweight,category:balance,yoga,stability,focus","Classic yoga balance pose that develops single-leg stability and focus. Tree Pose strengthens the standing leg (ankle, calf, thigh) and the core and hip stabilizers that keep you upright. The lifted leg also opens the hip of that side, improving hip flexibility. Mentally, it builds concentration and a sense of grounding as you practice steadying yourself.","Avoid pressing the foot against the knee joint of the standing leg – place it either below or above the knee to prevent strain. If you have trouble balancing, start with your foot lower (ankle or calf) and/or do it near a wall for support. People with ankle instability should be cautious; they can do a modified version with toes of the raised foot touching the ground. As with any balance pose, step out of it slowly if you start to fall to avoid injury.","Typically done in the middle of a yoga routine among other standing poses. It's useful after warming up, when muscles are loose but not too fatigued. You can also use it outside of yoga – say, after a run or leg workout – to work on balance and hip opening as part of a cool-down.","single-leg-stand,warrior-3","Actively press your raised foot into your standing leg and vice versa to create stability. Keep your standing leg straight but not locked. Find a focal point to gaze at. You can place hands at your chest (prayer position) or raise them overhead once stable. Breathe deeply; balance improves when you stay calm and breathe rather than holding your breath.","Yoga15 – Tree Pose Benefits; https://yoga15.com/poses/tree-pose/ | Sri Sri Yoga – Tree Pose Benefits; https://srisrischoolofyoga.org/blog/tree-pose-vrksasana"
warrior-3,Warrior III,Balance on one leg with other leg extended behind,time-based,general-fitness,,,20,,false,false,"balance,legs,glutes,back,core","equipment:bodyweight,category:balance,yoga,strength,core","Advanced balance pose that strengthens the entire posterior chain (back, glutes, hamstrings) as well as the core and shoulders. Warrior III greatly improves balance and coordination, making you stabilize with one leg and torso parallel to the ground. It stretches the hamstring of the standing leg and requires engagement of the back muscles to keep your chest lifted. Overall, it builds core strength and back-body engagement while honing focus.","This pose is challenging; beginners should use a wall or blocks under the hands for support while learning the balance. Maintain a neutral neck (don't crane upward) to avoid neck strain. If you have lower back problems, be cautious with the forward-leaning position – ensure you engage your core to avoid sagging. It's okay to keep a slight bend in the standing knee to ease hamstring tension. Come out of the pose if you feel your form collapsing, as continuing while unstable might lead to a fall.","Commonly part of yoga flows after poses like Warrior I or II, when the legs are warmed up. It's best done when you're not overly fatigued, so perhaps earlier in a session to really challenge your balance while fresh. In a general fitness context, you might include it after some simpler balance moves (like Tree Pose) as a peak balance challenge.","single-leg-stand,tree-pose","Keep your hips level – avoid opening the hip of the lifted leg upward. Point the toes of your raised leg toward the floor and actively reach back through your heel. Extend your arms forward (or keep them by your sides) in line with your torso for balance. Imagine making a straight line from fingertips (or head) to your heel. It's normal to wobble; just reset and try again, focusing on engaging your core and leg muscles.","Yoga Journal – Warrior III Benefits; https://www.yogajournal.com/poses/warrior-iii-pose/ | Hugger Mugger – Warrior III Core Strength; https://www.huggermugger.com/blog/warrior-iii-balance"
dead-bug,Dead Bug,Lie on back alternate extending opposite arm and leg,repetition-based,general-fitness,3,6,,2,false,false,"core,abs","equipment:bodyweight,category:core,stability,coordination","Highly effective for core stabilization. The dead bug teaches you to keep your ribcage down and lower back flat while moving your arms and legs – strengthening the deep core muscles that protect your spine. It improves coordination between opposite limbs (neuromuscular control) and can help alleviate lower back discomfort by training proper spinal alignment during movement. Overall, it builds a strong, stable core foundation for other exercises.","It's generally very safe. The main error is letting your lower back arch off the floor – if you can't keep it down, limit your range of motion or bend your knees more. If you feel neck strain, support your head on a small pillow or towel. People with severe lower back pain should start with caution and perhaps with one limb at a time until the core is stronger.","Use it early in a core workout or as part of a warm-up to activate the core before heavier exercises. It's also often included in physical therapy or beginner routines because of its safety and effectiveness. Doing 2-3 sets of dead bugs a few times a week can greatly improve core stability over time.","plank,glute-bridges","Focus on pressing your lower back into the ground throughout the exercise. Move slowly – extend opposite arm and leg outward until just before your back wants to arch, then return to center and switch. Breathe out as you extend to help engage the deep abs. Starting with shorter ranges and gradually increasing as you get stronger will ensure you're doing it correctly.","Healthline – Dead Bug for Core Stability; https://www.healthline.com/health/dead-bug-exercise | Nike – Dead Bug Purpose; https://www.nike.com/a/dead-bug-exercise"
glute-bridges,Glute Bridges,Lie on back lift hips by squeezing glutes,repetition-based,general-fitness,3,12,,2,false,false,"glutes,hamstrings,core","equipment:bodyweight,category:strength,glutes,lower-body,posterior-chain","Isolates and strengthens the gluteal muscles, which are often underused due to sitting. Strong glutes contribute to better pelvic alignment and can help alleviate lower back pain by taking strain off the spine. Glute bridges also engage the hamstrings and core, making them a great posterior-chain exercise. They improve hip extension, which can enhance posture and athletic movements (like jumping and running).","If you hyperextend (arch) your lower back at the top, you may feel discomfort – focus on squeezing the glutes, not arching the spine. People with very tight hip flexors might find it hard to lift hips high; a gentle stretch of hip flexors beforehand can help. Generally low-impact, but those with certain spine conditions should ensure they don't push through pain. Also, avoid pushing your head into the ground; the force should be through shoulders and feet.","Often used towards the end of a leg workout or within a core routine. They make a good warm-up for glute-engaged exercises (like squats or running) by activating the glutes. In rehab or beginner workouts, they can be a primary exercise done 3-4 times a week, whereas in strength programs they might appear 1-2 times a week as accessory work.","dead-bug,lunges","Feet placement affects emphasis: closer to butt targets glutes more, further out involves hamstrings more. Keep your knees about hip-width apart and don't let them flare outward or collapse inward. Pause for a second at the top of the bridge to maximize glute contraction, then lower slowly. Ensure you are pushing through your heels – you can even lift your toes slightly to emphasize heel drive.","Elite Chiro Sport – Glute Bridge Benefits; https://elitechirosport.com/home-rehab-glute-bridge | Coast Performance – Calf Raises & Posterior Chain; https://coastperformancerehab.com/calf-exercises-save-feet-ankles/"
finger-roll,Finger Roll,Roll fingers from fist to full extension working each finger individually,time-based,general-fitness,,,30,,false,false,"hands,mobility","equipment:bodyweight,category:hand-warmup,hands,fingers,warmup,mobility,dexterity","Increases flexibility and blood circulation in the fingers and hands. Finger rolls help maintain range of motion in the finger joints and can improve dexterity and coordination of the fingers. Useful for warming up the hands before fine motor tasks or relieving stiffness after long periods of computer use. Over time, such exercises can help keep your hands nimble and may reduce risk of issues like tendonitis by gently working the tendons through their motion.","Virtually no risk when done gently. Avoid aggressive or fast snapping movements – the exercise should be smooth. If you have arthritis or very stiff fingers, do the motion slowly and in warm water to further ease joint movement. Stop if you feel any sharp pain in a particular finger joint.",Great as a daily routine for hand health – for example in the morning or during breaks from work. Also perform before activities that need finger flexibility (like typing playing an instrument climbing etc.). It fits well at the start of an upper-body warm-up or at the end of a workout as a cooldown for the hands.,"","Perform slowly: start with a closed fist, then gradually unfurl one finger at a time until the hand is fully open, stretching the fingers apart, then roll back to a fist. You can change the order of finger extension each time. Breathe normally and try to relax the hand as you move. This is also a good opportunity to practice mindfulness – focus on the sensations in your hand as each finger moves.","WebMD – Hand and Finger Exercise Benefits; https://www.webmd.com/osteoarthritis/ss/slideshow-hand-finger-exercises | USC Verdugo – Hand Exercises for Flexibility; https://uscvhh.org/5-hand-exercises-to-help-you-maintain-your-dexterity-flexibility/"
tricep-dips,Tricep Dips,Lower and raise body using arm strength while seated on edge,repetition-based,general-fitness,3,8,,2,false,false,"triceps,shoulders,chest","equipment:bodyweight,category:strength,upper-body,triceps,arms,bodyweight","Primarily targets the triceps on the back of the upper arm, contributing to stronger, toned arms. Dips also involve the chest and anterior shoulders as secondary muscles. They can help improve upper-body pushing strength and can be done almost anywhere with a sturdy chair or bench. Over time, dips can lead to better arm definition and functional strength for pushing motions (like getting up from a seated position).","Bench dips can put significant stress on the shoulder joints due to the position of the arms behind the body. It's important not to dip too low – lower until your elbows are about 90 degrees to reduce risk of shoulder injury. If you feel anterior shoulder pain, shorten the range or discontinue. Also keep your shoulders down (do not shrug) and close to your body during the dip. Those with previous shoulder issues should be cautious or opt for a different triceps exercise.","Often included after compound chest exercises (like push-ups or bench press) to further work the triceps. They can also be part of a bodyweight circuit. Because they can fatigue the arms quickly, doing them earlier in an upper-body workout is common, but ensure you are warmed up. Avoid doing heavy dips after your shoulders are already exhausted to maintain good form.","push-ups,plank","Place your hands on the edge of the bench or chair, fingers forward, and keep your hips close to the bench as you dip (this reduces shoulder strain). Keep your elbows pointing backward (not flared out). Inhale as you lower, exhale as you push up. To make it easier, bend your knees and keep feet closer; to make it harder, straighten your legs or elevate your feet.","Verywell Fit – Triceps Dips Precautions; https://www.verywellfit.com/how-to-do-triceps-dips-3498339 | American Council on Exercise – Triceps Dips Muscles; https://www.acefitness.org/education-and-resources/lifestyle/exercise-library/44/triceps-dips/"
