id,name,description,exercise_type,default_duration,muscle_groups,base_tags,benefits,limitations,suggested_combinations,catalogs
high-knees,High Knees,Run in place bringing knees up to chest level,time_based,30,cardio|legs|core,,"A quick-paced cardio drill that elevates heart rate and improves lower-body power. High knees engage the hip flexors, quadriceps, hamstrings, calves, and glutes, building muscular endurance and coordination in these areas. They also strengthen the core (keeping you upright) and can enhance running speed and form by training an exaggerated knee lift.","This exercise is high-impact (essentially running in place), so it can strain ankles or shins if done on a very hard surface. Wear supportive footwear and choose softer ground if possible. If you have balance issues or are very new to exercise, start with a marching-in-place to build up. As always, maintain good posture; do not lean back, which could strain the lower back.",butt-kicks|jumping-jacks,"general-fitness,women-health"
butt-kicks,Butt Kicks,Run in place kicking heels up toward glutes,time_based,30,cardio|hamstrings|calves,,"Focuses on the hamstrings by having you kick your heels up. Butt kicks serve as a dynamic stretch for the quadriceps and an activation for the hamstrings, improving their flexibility and strength. Like high knees, it’s also a cardio move that will raise your heart rate and warm up the body. Regular practice can aid running form by encouraging a quicker heel recovery under the body.","Maintain an upright posture; avoid leaning too far forward, which can strain the lower back. If you have knee issues, perform the movement gently (don’t force your heel to hit your butt). People with very tight quads should ease into it to prevent muscle pulls. As a lower-impact drill, it is generally safe, but if balance is a concern, do it marching in place rather than fast jumping.",high-knees|jumping-jacks,"general-fitness,women-health"
downward-dog,Downward Dog,Form inverted V-shape with hands and feet on ground,time_based,30,flexibility|hamstrings|shoulders|back,,"A staple yoga pose that stretches the entire back side of your body. Downward Dog lengthens the hamstrings and calves, opens the shoulders and chest, and traction on the spine helps relieve back tension. It also builds strength in the arms and shoulders by supporting part of your body weight, and improves blood circulation with the head lowered slightly (mild inversion):.","Those with very tight hamstrings or shoulders might find it challenging – it’s okay to bend your knees and elbows slightly to maintain a straight back. If you have wrist issues, you can do the pose on your forearms (Dolphin pose) or prop your hands on blocks. Individuals with uncontrolled high blood pressure or glaucoma should be cautious with any inverted position. Come out of the pose if you feel any dizziness or sharp pain.",child-pose|forward-fold,general-fitness
child-pose,Child's Pose,"Kneel and sit back on heels, extend arms forward on ground",time_based,45,flexibility|back|hips,,"A gentle, restorative pose that stretches the lower back, hips, thighs, and ankles. It helps to relax both the body and mind by activating the parasympathetic nervous system (promoting stress relief and better sleep). Child’s Pose can alleviate lower back pressure by elongating the spine and is often used as a resting or calming posture in yoga.","If you have knee problems, widen your knees or place a cushion under your hips to reduce pressure. Those with very limited ankle mobility might feel discomfort – a rolled towel under the ankles can help. Pregnant women or people with a large midsection should take a wider stance with the knees to avoid compression on the abdomen. Otherwise, it’s generally safe; just avoid forcing your buttocks all the way to the heels if it causes pain.",downward-dog|cat-cow,general-fitness
cat-cow,Cat-Cow Stretch,Alternate arching and rounding spine on hands and knees,repetition_based,2,flexibility|back|core,,"Gently mobilizes the spine, increasing flexibility and relieving tension in the back and neck. Cat-Cow helps you become more aware of spinal movement and can improve posture by training each vertebra to move. It also promotes blood flow to the spinal muscles and engages the core in a mild, controlled way. Often used to ease stiffness in the morning or before more strenuous activity.","This is a very low-risk movement. However, if you have a spinal injury or severe pain, move within a pain-free range only. It’s safe to let the back round fully in Cat and arch in Cow, but do not force any position. People with wrist discomfort can perform it on fists or with wrists slightly ahead of shoulders. Remember to move slowly and breathe; rushing through can reduce the effectiveness of the stretch:.",child-pose|downward-dog,"general-fitness,women-health"
single-leg-stand,Single Leg Stand,"Stand on one leg, hold for time, then switch",time_based,30,balance|legs|core,,"A fundamental balance exercise that improves proprioception and ankle stability. Regular practice can enhance your overall balance and reduce the risk of falls by strengthening the muscles around the ankles, knees, and hips that keep you upright. It engages the core as well, since you must stabilize your trunk on one leg. There’s even research suggesting that better one-leg balance is correlated with longer life expectancy: (likely reflecting overall health).","For safety, stand near a support (wall or chair) when you first try it, in case you lose balance. If you have significant balance issues or neurological conditions affecting balance, consult a professional for guidance. It’s a gentle exercise, but avoid doing it with eyes closed or on unstable surfaces until you have mastered a stable stance. Always practice on both legs to ensure balanced development.",tree-pose|warrior-3,"general-fitness,women-health"
tree-pose,Tree Pose,Stand on one leg with other foot on inner thigh,time_based,30,balance|legs|core|hips,,"Classic yoga balance pose that develops single-leg stability and focus. Tree Pose strengthens the standing leg (ankle, calf, thigh) and the core and hip stabilizers that keep you upright. The lifted leg also opens the hip of that side, improving hip flexibility. Mentally, it builds concentration and a sense of grounding as you practice steadying yourself.","Avoid pressing the foot against the knee joint of the standing leg – place it either below or above the knee to prevent strain. If you have trouble balancing, start with your foot lower (ankle or calf) and/or do it near a wall for support. People with ankle instability should be cautious; they can do a modified version with toes of the raised foot touching the ground. As with any balance pose, step out of it slowly if you start to fall to avoid injury.",single-leg-stand|warrior-3,general-fitness
warrior-3,Warrior III,Balance on one leg with other leg extended behind,time_based,20,balance|legs|glutes|back|core,,"Advanced balance pose that strengthens the entire posterior chain (back, glutes, hamstrings) as well as the core and shoulders. Warrior III greatly improves balance and coordination, making you stabilize with one leg and torso parallel to the ground. It stretches the hamstring of the standing leg and requires engagement of the back muscles to keep your chest lifted. Overall, it builds core strength and back-body engagement while honing focus.","This pose is challenging; beginners should use a wall or blocks under the hands for support while learning the balance. Maintain a neutral neck (don’t crane upward) to avoid neck strain. If you have lower back problems, be cautious with the forward-leaning position – ensure you engage your core to avoid sagging. It’s okay to keep a slight bend in the standing knee to ease hamstring tension. Come out of the pose if you feel your form collapsing, as continuing while unstable might lead to a fall.",single-leg-stand|tree-pose,general-fitness
dead-bug,Dead Bug,"Lie on back, alternate extending opposite arm and leg",repetition_based,2,core|abs,,"Highly effective for core stabilization. The dead bug teaches you to keep your ribcage down and lower back flat while moving your arms and legs – strengthening the deep core muscles that protect your spine. It improves coordination between opposite limbs (neuromuscular control) and can help alleviate lower back discomfort by training proper spinal alignment during movement. Overall, it builds a strong, stable core foundation for other exercises.","It’s generally very safe. The main error is letting your lower back arch off the floor – if you can’t keep it down, limit your range of motion or bend your knees more. If you feel neck strain, support your head on a small pillow or towel. People with severe lower back pain should start with caution and perhaps with one limb at a time until the core is stronger.",plank|glute-bridges,general-fitness
glute-bridges,Glute Bridges,"Lie on back, lift hips by squeezing glutes",repetition_based,2,glutes|hamstrings|core,,"Isolates and strengthens the gluteal muscles, which are often underused due to sitting. Strong glutes contribute to better pelvic alignment and can help alleviate lower back pain by taking strain off the spine. Glute bridges also engage the hamstrings and core, making them a great posterior-chain exercise. They improve hip extension, which can enhance posture and athletic movements (like jumping and running).","If you hyperextend (arch) your lower back at the top, you may feel discomfort – focus on squeezing the glutes, not arching the spine. People with very tight hip flexors might find it hard to lift hips high; a gentle stretch of hip flexors beforehand can help. Generally low-impact, but those with certain spine conditions should ensure they don’t push through pain. Also, avoid pushing your head into the ground; the force should be through shoulders and feet.",dead-bug|lunges,"general-fitness,women-health"
finger-roll,Finger Roll,"Roll fingers from fist to full extension, working each finger individually",time_based,30,hands|mobility,,"Increases flexibility and blood circulation in the fingers and hands. Finger rolls help maintain range of motion in the finger joints and can improve dexterity and coordination of the fingers. Useful for warming up the hands before fine motor tasks or relieving stiffness after long periods of computer use. Over time, such exercises can help keep your hands nimble and may reduce risk of issues like tendonitis by gently working the tendons through their motion.","Virtually no risk when done gently. Avoid aggressive or fast snapping movements – the exercise should be smooth. If you have arthritis or very stiff fingers, do the motion slowly and in warm water to further ease joint movement. Stop if you feel any sharp pain in a particular finger joint.",,general-fitness
tricep-dips,Tricep Dips,Lower and raise body using arm strength while seated on edge,repetition_based,2,triceps|shoulders|chest,,"Primarily targets the triceps on the back of the upper arm, contributing to stronger, toned arms. Dips also involve the chest and anterior shoulders as secondary muscles. They can help improve upper-body pushing strength and can be done almost anywhere with a sturdy chair or bench. Over time, dips can lead to better arm definition and functional strength for pushing motions (like getting up from a seated position).","Bench dips can put significant stress on the shoulder joints due to the position of the arms behind the body. It’s important not to dip too low – lower until your elbows are about 90 degrees to reduce risk of shoulder injury. If you feel anterior shoulder pain, shorten the range or discontinue. Also keep your shoulders down (do not shrug) and close to your body during the dip. Those with previous shoulder issues should be cautious or opt for a different triceps exercise.",push-ups|plank,general-fitness
calf-raises,Calf Raises,"Rise up onto toes, hold briefly, then lower back down",repetition_based,2,calves,,"Strengthens the calf muscles (gastrocnemius and soleus) which power plantarflexion (rising on toes). Strong calves improve ankle stability and balance, reducing the risk of ankle sprains. They also contribute to better push-off in walking, running, and jumping. Regular calf raises can enhance muscle endurance in the lower legs and may help prevent Achilles tendon injuries by conditioning the tendon and muscles.","It’s generally a safe low-impact exercise. However, bouncing at the bottom or doing very fast reps might strain the Achilles tendon – perform raises in a controlled manner. People with tight calves should include stretching as well, as strengthening without stretching could increase tightness. If you feel a calf cramp, pause and gently stretch before continuing. Those with Achilles tendonitis should start with caution (maybe focusing on slow eccentric lowers).",squats|lunges,"general-fitness,women-health"
russian-twists,Russian Twists,"Sit with feet elevated, rotate torso side to side",repetition_based,2,core|obliques|abs,,"Targets the oblique muscles strongly, helping to tone the sides of your abdomen and improve rotational strength. Russian twists also engage the transverse abdominis and lower back to stabilize the spine as you rotate, contributing to a stronger core. Athletes benefit from this exercise due to its sports-specific rotational training (think swinging a bat or golf club). When done with control, it can enhance spinal mobility and core endurance.","Twisting with a rounded lower back or too heavy a weight can strain the lumbar spine or discs. It’s critical to keep your back at a 45° angle and chest up while performing the twist. If you have a history of lower back issues, consider avoiding weighted twists and keep the motion small and slow. Some trainers caution against this move for those with osteoporosis or disc problems due to the rotational stress. Always move deliberately – avoid sudden jerks.",bicycle-crunches|plank,general-fitness
bear-crawl,Bear Crawl,"Crawl forward on hands and feet, keeping knees off ground",time_based,30,full-body|core|shoulders|legs,,"A compound exercise that develops total-body strength and cardio. Bear crawls strengthen the shoulders and arms (as they support your body), core (as you stabilize your trunk in motion), and legs – all while training coordination and agility. It’s essentially a moving plank, forcing your core to work hard to prevent rotation as you move, and it raises your heart rate, improving endurance. It’s also great for building shoulder stability and improving hip and ankle mobility when done with proper form.","Can be tiring quickly – maintain form even when fatigued. If your knees start touching the ground or hips sag, take a break to avoid strain on the lower back. Those with wrist pain might need to crawl on fists or parallel bars to keep wrists neutral. Ensure a flat back; don’t let your head drop (to avoid neck strain). As it involves being bent over, individuals with high blood pressure or glaucoma should monitor for dizziness due to head position (though it’s not a full inversion).",mountain-climbers|burpees,general-fitness
forward-fold,Forward Fold,"Stand and bend forward, reaching toward toes",time_based,30,flexibility|hamstrings|back,,"A soothing stretch for the posterior chain. Standing Forward Fold deeply stretches the hamstrings, calves, and lower back. It gently decompresses the spine and can help relieve tension in the back and neck. Forward bends also have a calming effect on the nervous system – they often reduce stress and anxiety, leaving you feeling grounded and relaxed. Additionally, the slight inversion (head below heart) can improve circulation to the brain and face.","Avoid bouncing in the stretch – a static or slow dynamic approach is safer. People with tight hamstrings should bend their knees slightly to prevent strain or rounding of the lower back. If you have lower back issues or disc problems, hinge at the hips with a flat back until you feel a stretch, rather than fully collapsing forward. Those with very high blood pressure or glaucoma should rise back up slowly to prevent head rush or pressure spikes. Pregnant individuals should widen their stance to make space for the belly and not compress it.",downward-dog|child-pose,general-fitness
chair-squat,Chair Squat,Sit-to-stand using a chair.,repetition_based,6,quads|glutes|hamstrings|core,,"Strengthens the major lower-body muscles (quadriceps, glutes, hamstrings) through a functional movement pattern. Highly accessible for beginners, older adults, or those recovering from injury. Helps build confidence in squat mechanics and improves leg strength for daily activities like standing from chairs, getting in/out of cars, or climbing stairs. May support bone density when practiced regularly, which is particularly valuable during menopause and aging.","Avoid if experiencing acute knee pain or severe joint inflammation. Use a higher chair if mobility is limited. Ensure the chair is stable and won't slide—place it against a wall if needed. If you have balance concerns, position the chair near a wall or counter for hand support. Stop if you feel sharp pain in knees or hips.",wall-push-up|glute-bridges,women-health
wall-push-up,Wall Push-Up,Standing push-up against a wall.,repetition_based,5,chest|shoulders|triceps|core,,"Builds upper-body strength in the chest, shoulders, and triceps without the intensity of floor push-ups. Excellent progression exercise for those working toward standard push-ups, and ideal for individuals with limited upper-body strength. Engages core muscles for stability while standing, and places minimal stress on wrists. Particularly suitable for postpartum recovery, seniors, or anyone new to resistance training.","Avoid if you have active shoulder injuries or inflammation. Use a sturdy wall that won't move. If you feel shoulder impingement or pain, reduce your range of motion or angle (stand further from the wall for less intensity). Those with wrist discomfort can try a slightly wider hand placement. Stop if you experience any sharp pain.",chair-squat|desk-plank,women-health
desk-plank,Desk Plank,Forearms on desk; hold body in a straight line.,time_based,30,core|abs|shoulders,,"Develops core strength and stability with less intensity than floor planks due to the elevated angle. Strengthens the abs, obliques, and deep core muscles while engaging shoulders and upper back for support. Perfect for office workers or those with limited floor space. The incline makes it accessible while still providing effective core training. Helps improve posture by training proper body alignment and reducing lower back strain from prolonged sitting.","Avoid if you have acute shoulder or wrist pain—the elevated position still requires upper-body support. Ensure your desk or surface is stable and won't slip. If you feel lower back discomfort, it may indicate your hips are sagging; engage your core more or reduce hold time. Those with high blood pressure should breathe steadily and avoid very long holds.",wall-push-up|bird-dog,women-health
bird-dog,Bird-Dog,"On hands/knees, extend opposite arm and leg.",repetition_based,2,core|back|glutes|shoulders,,"Excellent for core stability and spinal alignment, strengthening the deep muscles that protect your back. Improves balance and coordination through contralateral movement (opposite limbs working together). Engages glutes, lower back, abs, and shoulders simultaneously in a functional pattern. Particularly valuable for postpartum recovery, rehabilitation after back injury, or prevention of lower back pain. Helps correct muscle imbalances and promotes better posture.","Avoid if you have acute wrist pain or carpal tunnel issues—you can modify by performing on forearms instead of hands. Keep movements slow and controlled; rushing reduces effectiveness and can compromise balance. If you have severe lower back pain, start with smaller range of motion or keep limbs closer to the floor. Those with knee discomfort should use a padded surface or folded towel under knees.",glute-bridges|cat-cow,women-health
modified-push-up,Modified Push-Up,Knees down; push-up pattern.,repetition_based,2,chest|shoulders|triceps|core,,"Builds upper-body strength in chest, shoulders, and triceps with reduced load compared to standard push-ups. Excellent progression exercise for building toward full push-ups. Engages core muscles for stability while minimizing lower-body involvement. Particularly suitable for postpartum women rebuilding core and upper-body strength, beginners, or those with limitations. Helps develop proper push-up form and body alignment in a more manageable position.","Avoid if experiencing acute wrist pain—you can use push-up handles or perform on fists if needed. Ensure knees are comfortably cushioned on a mat or soft surface. If you feel shoulder impingement, reduce range of motion or widen hand placement slightly. Keep core engaged to avoid lower back sagging. Those with recent abdominal surgery should get medical clearance before attempting.",chair-squat|glute-bridges,women-health
arm-circles,Arm Circles,Circle arms forward and back.,time_based,25,shoulders|mobility,,"Increases blood flow to shoulder muscles and improves range of motion in the shoulder joints. Excellent for warming up before upper-body workouts or sports activities. Helps maintain shoulder flexibility and can reduce stiffness from prolonged sitting or computer work. The dynamic movement activates rotator cuff muscles and deltoids. Can help relieve tension in shoulders and upper back, including premenstrual tension that often settles in the upper body.","Avoid large circles if you have active shoulder pain, impingement, or recent shoulder injury. Start with small circles and only increase size if pain-free. Those with rotator cuff issues should move slowly and within comfortable range. If you feel clicking or grinding in shoulders, reduce circle size or stop. Keep movements controlled—avoid forceful or ballistic motions.",shoulder-rolls|wall-push-up,women-health
step-up-stair,Step-Up (Stair),Step onto a stair; alternate legs.,repetition_based,2,quads|glutes|hamstrings,,"Highly functional exercise that strengthens quadriceps, glutes, and hamstrings through a movement pattern used daily. Improves single-leg balance and stability, helping prevent falls. Builds leg power for climbing stairs, hiking, or getting up from low seats. The unilateral nature helps identify and correct strength imbalances between legs. Excellent for maintaining independence in daily activities, especially important for older adults. Can also improve cardiovascular fitness when performed at higher tempo.","Avoid if you have acute knee pain or recent knee injury. Start with a lower step (4-6 inches) if you have knee concerns, then progress to standard stair height. Ensure the step is stable and non-slip. If balance is an issue, perform near a railing or wall for support. Those with hip problems should ensure full range is pain-free. Stop if you feel sharp pain in knees or hips.",chair-squat|calf-raises,women-health
neck-rolls,Neck Rolls,Gentle circular neck movement.,repetition_based,2,flexibility|mobility,,"Relieves tension and stiffness in neck muscles caused by poor posture, desk work, or stress. Improves neck mobility and range of motion through gentle circular movement. Increases blood flow to neck muscles, which can reduce headache frequency. Helps release trigger points in upper trapezius and neck muscles. Particularly valuable for desk workers, drivers, or anyone who holds static neck positions for extended periods.","Avoid if you have acute neck injury, whiplash, or severe cervical spine issues. Move very slowly and gently—never force the movement or make it ballistic. If you feel dizziness, stop immediately and consult a healthcare provider. Those with disc problems in the neck should get clearance before doing full circles; may need to do partial range movements instead. Stop if you feel sharp pain, numbness, or tingling.",shoulder-rolls|seated-spinal-twist,women-health
shoulder-rolls,Shoulder Rolls,Circle shoulders forward and back.,repetition_based,2,shoulders|mobility,,"Releases tension in the upper trapezius, levator scapulae, and surrounding shoulder muscles that accumulate from poor posture, stress, or prolonged sitting. Improves shoulder mobility and range of motion through gentle circular movement in multiple planes. Increases blood flow to shoulder muscles, which can help reduce stiffness and the heavy feeling that develops during desk work. Can help prevent headaches caused by shoulder and neck tension. Particularly valuable for desk workers, drivers, or anyone who holds static shoulder positions for extended periods. The rhythmic rolling motion also has a calming, meditative effect that can reduce stress levels.","Avoid if you have active shoulder impingement, bursitis, or acute shoulder inflammation without medical clearance. Move slowly and smoothly—never force the movement or make it rapid/jerky as this can strain the joint. If you feel clicking, grinding, or sharp pain in the shoulder joint, reduce the range of motion or stop. Those with rotator cuff tears or significant shoulder instability should move very gently within comfortable range. Never push through sharp pain. People with frozen shoulder should work with a physical therapist on appropriate range. The movement should feel releasing, not painful.",neck-rolls|cat-cow,"women-health,women-health"
seated-spinal-twist,Seated Spinal Twist,"Seated, gently twist torso.",time_based,20,flexibility|core|obliques|back,,"Improves spinal rotation and flexibility, essential for daily movements like reaching behind you or looking over your shoulder. Gently stretches the muscles along the spine, obliques, and intercostals (muscles between ribs). Can help improve posture by counteracting forward-hunched positioning from sitting. May aid digestion through gentle compression and massage of abdominal organs. Often provides relief from bloating during menstruation. Releases tension in mid and upper back.","Avoid if you have herniated discs, severe spinal stenosis, or acute back injury. Move gently and never force the twist—stop at your natural range. If you have osteoporosis, check with a healthcare provider as twisting movements can pose risk. Those with hip replacements should ensure the twist doesn't stress the hip. Stop if you feel sharp pain, numbness, or tingling down the legs.",neck-rolls|shoulder-rolls,women-health
hamstring-stretch,Hamstring Stretch,Extend leg and hinge forward to stretch hamstrings.,time_based,25,flexibility|hamstrings|back,,"Lengthens tight hamstring muscles, which often become shortened from prolonged sitting. Improves flexibility in the posterior chain (hamstrings and lower back), enhancing mobility for daily activities like bending, lifting, or walking. Better hamstring flexibility can reduce lower back pain by allowing proper hip hinge mechanics. Supports better posture and reduces risk of hamstring strains during physical activity. Particularly important for maintaining mobility as we age.","Avoid if you have acute hamstring tear or recent hamstring injury—allow proper healing time first. Never bounce in the stretch; use static or very gentle dynamic movement only. If you have lower back issues, be cautious not to round your spine excessively; hinge from hips with relatively flat back. Those with sciatica should stretch gently and stop if symptoms increase. Tight hamstrings are common; don't force into pain.",calf-stretch|quad-stretch,women-health
calf-stretch,Calf Stretch,Push against wall with heel down.,time_based,25,flexibility|calves,,"Stretches the gastrocnemius and soleus muscles of the calf, which often become tight from walking, running, or standing. Improves ankle dorsiflexion range of motion, essential for squatting, climbing stairs, and walking uphill. Better calf flexibility can reduce risk of Achilles tendon injuries and plantar fasciitis. Helps alleviate calf cramps and soreness. Particularly helpful after wearing high heels or after long periods of standing. Supports better balance and gait mechanics.","Avoid if you have acute Achilles tendinitis or recent Achilles rupture—allow proper healing first. If you have plantar fasciitis, proceed gently as aggressive calf stretching can sometimes aggravate symptoms. Never bounce in the stretch. Those with calf strains should wait until healed before stretching. Start gently if calves are very tight or cramping. Stop if you feel sharp pain in the Achilles tendon.",hamstring-stretch|quad-stretch,women-health
quad-stretch,Quad Stretch,Stand and pull ankle to glutes; keep knees together.,time_based,25,flexibility|quads|balance,,"Stretches the quadriceps muscles at the front of the thigh, which often become tight from activities like running, cycling, or sitting. Improves hip flexor and knee mobility, important for proper squat mechanics and daily movements. The single-leg stance challenges and improves balance. Better quad flexibility can reduce knee pain and improve posture by preventing anterior pelvic tilt. Helps maintain healthy knee mechanics and reduces risk of quad strains during activity.","Avoid if you have acute knee pain, recent knee injury, or patellar tendinitis. If you have balance issues, perform near a wall or hold onto a chair for support. Those with very tight quads may feel uncomfortable—don't force it; bend the standing leg slightly if needed. If you feel pain in the kneecap or front of knee (not a stretch sensation), ease off. People with hip replacements should check with their surgeon about hip flexion limits.",hamstring-stretch|calf-stretch,women-health
hip-opener,Hip Opener (Butterfly),Seated butterfly stretch; soles together; knees open.,time_based,25,flexibility|hips,,"Opens the hips and stretches inner thigh muscles (adductors), which often become tight from sitting or activities like cycling and running. Improves hip mobility and external rotation, essential for many daily movements and exercises. This gentle stretch can help reduce lower back tension by improving hip flexibility. The relaxing nature of the stretch can reduce stress and promote calm. Often provides relief from menstrual cramps and pelvic tension. Helps prepare hips for activities requiring mobility.","Avoid if you have groin strain, hip impingement, or acute hip pain. Never force knees toward the floor—let gravity and time do the work. If you have very tight hips, sit on a cushion or folded blanket to elevate your hips slightly. Those with hip replacements should check with their surgeon about safe hip positions. Stop if you feel sharp pain in hips or groin. Inner knee discomfort means you're pushing too hard.",cat-cow|glute-bridges,women-health
chest-opener,Chest Opener,Clasp hands behind back and open chest.,time_based,25,flexibility|chest|shoulders,,"Stretches the pectoralis major and minor (chest muscles) which often become shortened and tight from prolonged sitting, computer work, driving, or any forward-hunched activities. Opens up the chest and front of shoulders, directly counteracting the rounded-shoulder posture that develops from desk work. Improves posture by encouraging the shoulders to sit back in their proper position and the chest to open. Can significantly improve breathing capacity by expanding the ribcage and reducing restriction across the chest. Helps relieve upper back pain that often results from compensating for tight chest muscles. Particularly valuable for improving shoulder mobility and reducing the risk of shoulder impingement. The stretch creates an immediate feeling of openness and can improve mood and energy.","Avoid if you have active shoulder injuries, rotator cuff tears, or acute shoulder pain without medical clearance. Those with shoulder impingement should be very gentle and may need to modify by not clasping hands fully behind back. If you can't comfortably bring your hands together behind your back, use a towel or strap between your hands to bridge the gap—never force the position. People with very tight chest muscles may feel significant discomfort initially; start with shorter holds (10-15 seconds) and build gradually. Stop immediately if you feel sharp pain, numbness, or tingling in arms. Those with shoulder instability should move cautiously. Pregnant women in later stages may find this uncomfortable due to posture changes.",shoulder-rolls|arm-circles,women-health
